id	lang	idiom	type	core	feature	map_spatial	map_directionality	map_localization	value	value_as_in_source	source	page	comment	contributor	form	example	gloss	translation	example_source	example_page	example_comment
1	Agul	Agul	idiom	yes	standard of comparison in comparative constructions	spatial	elative	super	superelative	elative -l	magometov1970	84		Chiara Naccarato	-l-as	zun bic'if e dada-l-as	1sg small cop father-sup-el	I'm smaller than my father	magometov1970	84	
2	Akhvakh	Northern Akhvakh	idiom	yes	standard of comparison in comparative constructions	spatial	translative	super	supertranslative	translative	magomedbekova1967	67		Chiara Naccarato	-g-u-ne	jacːo-g-une wacːi šoda gudi	sister-sup-trans brother good cop.m	the brother is better than the sister	magomedbekova1967	67	
3	Andi	Andi	village	yes	standard of comparison in comparative constructions	spatial	essive	cont	contessive	essive II	cercvadze1965	344		Chiara Naccarato	-č'u	hono-r haq'ːu du-r haq'ːu-č'u r-eč'uχa	dem-inan2 house 2sg-inan2 house-cont inan2-big	this house is bigger than your house	cercvadze1965	344	
4	Archi	Archib	village	yes	standard of comparison in comparative constructions	non-spatial	non-spatial	none	comparative		kibrik1977	59	residual spatial usages (Daniel & Ganenkov 2009: 673-674)	Chiara Naccarato	-χur	NA	NA	NA	NA	NA	
5	Archi	Archib	village	no	standard of comparison in comparative constructions	spatial	elative	super	superelative	elative III	mikailov1967	60		Chiara Naccarato	-tː-iš	ƛurc'em ƛʷati-tːu-b i dogili-tː-iš	mule strong-atr-inan1.sg cop donkey-sup-el	the mule is stronger than the donkey	mikailov1967	60	
6	Armenian	Modern Eastern Armenian	idiom	yes	standard of comparison in comparative constructions	spatial	elative	none	ablative		dum-tragut2009	532		Chiara Naccarato	-ic'	Ararat-ě Aragac'-ic' (aveli) barjr ē	Ararat-det Aragac-abl (cmpr) high cop	Ararat is higher than Aragac	dum-tragut2009	532	
7	Avar	Standard Avar	idiom	yes	standard of comparison in comparative constructions	spatial	elative	super	superelative	superablative	forker2020	NA (17)		Chiara Naccarato	-da-sa	di-da-sa ɬik’-a-w qazaq du-je=gi šːʷ-ela-r=in	1sg-sup-el good-adjz-m worker 2sg-dat=add get-fut-neg=emph	you will also not get a better farm worker than me	forker2020	NA (17)	example from bokarev1949syntax
8	Azerbaijani	Standard Azerbaijani	idiom	yes	standard of comparison in comparative constructions	spatial	elative	none	ablative		sirəliyevsevortyan1971	47		Chiara Naccarato	-dan (-dən)	Bakı Kirovabad-dan böyük-dür	Baku Kirovabad-abl big-cop.3sg	Baku is bigger than Kirovabada	sirəliyevsevortyan1971	47	
9	Bagvalal	Kvanada	village	no	standard of comparison in comparative constructions	spatial	elative	super	superelative		sosenskaja2001	409		Chiara Naccarato	-la-sː	anwar ʕisa-la-sː kuwata-w ekʷ'a	Anwar Isa-sup-el strong-m cop	Anwar is stronger than Isa	sosenskaja2001	409	
10	Bagvalal	Bagvalal	idiom	yes	standard of comparison in comparative constructions	spatial	essive	cont	contessive		sosenskaja2001; magomedova2004	409; 578	magomedova2004 is based on data from multiple villages, but there is no consistent and explicit mention of dialectal variation	Chiara Naccarato	-č'	anwar ʕisa-č' kuwata-w ekʷ'a	Anwar Isa-cont strong-m cop	Anwar is stronger than Isa	sosenskaja2001	409	
11	Bats	Bats	village	yes	standard of comparison in comparative constructions	spatial	essive	in	inessive	comparative = inessive I	desheriev1953	64	inessive I has meanings like Russian prepositional case	Chiara Naccarato	-χ	seː wašo xeː wašo-χ iazi-wχ w-a	1sg.gen brother 2sg.gen brother-in good-cmpr m-cop	my brother is better than yours	desheriev1953	64	
12	Bezhta	Bezhta	village	yes	standard of comparison in comparative constructions	spatial	essive	super	superessive	essive -ʁa / -ʁoj	madieva1965	96	adessive (Daniel & Ganenkov 2009)	Chiara Naccarato	-ʁa (-ʁoj)	isi-ʁa is k'et'o gej	sister-sup brother good cop	the brother is better than the sister	madieva1965	96	
13	Botlikh	Botlikh	village	yes	standard of comparison in comparative constructions	spatial	elative	cont	contelative	adelative	alekseyevverhees2020	NA		Chiara Naccarato	-č'u-ku	azaru-da ʁuruša-č'u-ku c'ːik'ːa	thousand-num rouble-cont-el a_lot	more than thousand roubles	alekseyevverhees2020	NA	
14	Budukh	Budukh	idiom	yes	standard of comparison in comparative constructions	non-spatial	non-spatial	none	comparative	ablative IV	talibov2007	118	-r elative	Chiara Naccarato	-wor	q'atɨr lemildu-wor q'uwolu wi	mule donkey-cmpr strong cop	the mule is stronger than the donkey	talibov2007	118	
15	Chamalal	Upper Gakvari	village	yes	standard of comparison in comparative constructions	spatial	elative	cont	contelative	elative I	bokarev1949	48	superelative (Daniel & Ganenkov 2009)	Chiara Naccarato	-č'-oː	gamuš c'atu-č'-oː gošo ida	buffalo horse-cont-el strong cop	the buffalo is stronger than the horse	bokarev1949	48	
16	Chamalal	Lower Gakvari	village	no	standard of comparison in comparative constructions	spatial	elative	cont	contelative	elative II	magomedova1999	422		Chiara Naccarato	-č'-oː	wacu-č'-oː mik'i ida jac	brother-cont-el young cop sister	the sister is younger than the brother	magomedova1999	422	
17	Chamalal	Gigatl	village	no	standard of comparison in comparative constructions	spatial	elative	cont	contelative	elative I	bokarev1949	56		Chiara Naccarato	-č'u-r	de-w wacːu-č'u-r w-uho ida	1sg-m(gen) brother-cont-el m-big cop	I'm bigger than my brother	bokarev1949	56	
18	Chamalal	Gadyri	village	no	standard of comparison in comparative constructions	spatial	elative	cont	contelative	elative I	bokarev1949	55		Chiara Naccarato	-č'-oː	deː-j wacu-č'-oː gošo ide	1sg-f(gen) brother-cont-el big cop	I'm bigger than my brother	bokarev1949	55	
19	Chechen	Standard Chechen	idiom	yes	standard of comparison in comparative constructions	non-spatial	non-spatial	none	comparative		jakovlev1960; nichols1994	21; 30		Chiara Naccarato	-(a)l	iza suo-l dika v-u	3sg 1sg-cmpr good m-cop	he is better than me	nichols1994	30	
20	Dargwa	Standard Dargwa (Akusha)	idiom	yes	standard of comparison in comparative constructions	spatial	essive	super	superessive	essive -č	abdullaev1954	110		Chiara Naccarato	-či-CM	nuša-či-b ʕeža-či-b uni durqasi sabi	1pl-sup-n(ess) goat-sup-n(ess) ox expensive cop	our ox is more expensive than the goat	abdullaev1954	110	
21	Dargwa	Mehweb	village	no	standard of comparison in comparative constructions	spatial	essive	super	superessive		chechuro2019	65		Chiara Naccarato	-če-CM	rasul quwati le-w muħammadi-če-w	Rasul strong cop-m Muhammad-cont-m(ess)	Rasul is stronger than Muhammad	chechuro2019	65	
22	Dargwa	Itsari	village	no	standard of comparison in comparative constructions	spatial	elative	super	superelative		sumbatovamutalov2003	NA (32)		Chiara Naccarato	-li(ː)-r	paːt'ma razijat-liː-r čakʷa-ci-ca-r	Patimat Razijat-obl.sup-el beautiful-atr-prs-f	Patimat is more beautiful than Razijat	sumbatovamutalov2003	NA (32)	
23	Dargwa	Kubachi	village	no	standard of comparison in comparative constructions	spatial	essive	super	superessive	essive -že	magometov1963	134		Chiara Naccarato	-ži-CM	di-ži-j id χːʷala sa-j	1sg-sup-f(ess) dem old cop-f	she is older than me	magometov1963	134	
24	Godoberi	Godoberi	idiom	yes	standard of comparison in comparative constructions	spatial	elative	cont	contelative		sosenskajatatevosov1996; saidova1973	167; 69		Chiara Naccarato	-č'u-ru	ruša hič'i-da hanq'u-č'u-ru=la	tree high-cop house-cont-el=add	the tree is higher than the house	sosenskajatatevosov1996	167	
25	Hinuq	Hinuq	idiom	yes	standard of comparison in comparative constructions	spatial	lative	none	aloc-lative		forker2019	NA (7)	animate location	Chiara Naccarato	-de-r	hago di-de-r ɬora ƛeb-a Ø-eˁžiy goɬ	dem.m 1sg-aloc-lat three.obl year-in m-big cop	he is three years younger than me	forker2019	NA (7)	
26	Hinuq	Hinuq	idiom	no	standard of comparison in comparative constructions	spatial	elative	super	superelative	superablative	forker2019	NA (7)	younger speakers	Chiara Naccarato	-ƛ'o-s	hago di-ƛʼo-s ɬora ƛeb-a Ø-eˁžiy goɬ	dem.m 1sg-sup-el three.obl year-in m-big cop	he is three years younger than me	forker2019	NA (7)	
27	Hunzib	Hunzib	idiom	yes	standard of comparison in comparative constructions	non-spatial	non-spatial	none	comparative		vandenberg1995	50		Chiara Naccarato	-yɑː	əg Ø-iʔer ɑbu-yɑː lo	dem.m m-small father-cmpr cop.m	he is smaller than the father	vandenberg1995	50	
28	Ingush	Ingush	idiom	yes	standard of comparison in comparative constructions	non-spatial	non-spatial	none	comparative		nichols2011	127, 425		Chiara Naccarato	-l	je mashen vuoqa mashiena-l deare-gh j-y	dem car other car-cmpr cheap-cmpr f-cop	this car is less expensive than the other car	nichols2011	425	
29	Karata	Karata	idiom	yes	standard of comparison in comparative constructions	spatial	elative	super	superelative	elative	magomedbekova1971; magomedovaxalidova2001	90; 455		Chiara Naccarato	-(w/j)a-gal	jacːo-wa-gal wacːi xoho-w ida	sister-sup-el brother good-m cop	the brother is better than the sister	magomedbekova1971	90	
30	Karata	Tukita	village	no	standard of comparison in comparative constructions	spatial	essive	cont	contessive		daniel p.c.	NA		Chiara Naccarato	-č'	islam israpili-č' herc'u-w egu	Islam Israpil-cont tall-m cop	Islam is taller than Israpil	daniel p.c.	NA	
31	Karata	Anchix	village	no	standard of comparison in comparative constructions	NA	NA	NA	NA	NA	NA	NA	?it should work as in Karata, but no explicit mention of the exact form used	Chiara Naccarato	-wal	NA	NA	NA	NA	NA	
32	Karata	Lower Inxelo	village	no	standard of comparison in comparative constructions	NA	NA	NA	NA	NA	NA	NA	?it should work as in Karata, but no explicit mention of the exact form used	Chiara Naccarato	-bal	NA	NA	NA	NA	NA	
33	Karata	Archo	village	no	standard of comparison in comparative constructions	NA	NA	NA	NA	NA	NA	NA	?it should work as in Karata, but no explicit mention of the exact form used	Chiara Naccarato	-gwal	NA	NA	NA	NA	NA	
